Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
457995,-3.385965,13.673077,0.375687,20.440001,-80.570000,-53.410000
458071,-2.720737,10.382828,1.215597,55.790001,-62.299999,-65.29999
458145,-2.163189,7.202653,0.693943,-19.180000,-40.180000,-49.560001
458220,-2.273263,6.209597,0.859054,14.770000,-34.650002,-17.80000
458296,-1.986114,6.755179,1.756395,-8.610000,-18.129999,9.730000
458370,-2.426409,7.193082,0.167504,-4.970000,-12.740000,14.280000
458445,-2.512553,9.346699,0.928448,29.330000,1.540000,11.900000
458519,-3.218461,9.772636,0.301506,13.90000,5.460000,6.300000
458594,-3.338107,9.803744,0.167504,10.570000,10.80000,0.140000
458669,-3.101209,8.746079,0.313471,3.710000,10.220000,-6.90000
458744,-3.405108,7.61472,-1.385494,-7.210000,14.210000,-7.0
458819,-1.682214,7.889418,0.165111,-8.470000,20.160000,8.400000
458893,0.270399,-3.596541,-3.94030,-8.50000,-67.970001,98.70000
458968,2.550840,5.72965,-1.172525,-19.950001,-25.200001,146.440002
459043,5.1178,18.54491,4.766673,-22.49999,-41.439999,167.649994
459118,1.354386,18.734077,3.165817,-15.50000,-34.580002,82.879997
459192,1.529068,14.453165,3.165817,-9.380000,-14.420000,14.980000
459267,2.546054,12.725485,2.869097,-2.30000,-3.850000,-24.500000
459342,1.442924,11.435708,2.826025,-17.150000,-4.900000,-81.620003
459417,0.485760,12.553196,2.445552,-9.730000,20.299999,-103.40001
459492,-1.294563,12.584304,2.514946,-16.730000,29.680000,-92.470001
459566,-1.916719,12.632162,2.395301,-7.490000,40.180000,-107.449997
459641,-3.747294,11.706106,1.497960,33.880001,49.490002,-81.690002
459716,0.729837,8.274676,2.629806,26.250000,46.619999,-94.220001
459791,-1.232348,3.132317,-1.201240,31.500000,21.490000,-79.449997
459866,-2.720737,1.150989,0.933234,20.230000,2.940000,-36.189999
459940,-3.766437,4.82301,0.993057,21.70000,-3.780000,7.70000
460015,-3.326142,5.594619,0.595834,18.410000,-14.0,31.639999
460090,-3.570219,6.410601,0.272792,-12.740000,-14.770000,47.950001
460165,0.856661,5.783659,0.801624,-27.510000,-10.640000,48.860001
460240,3.823867,-5.446259,-3.646792,-33.880001,-20.580000,90.860001
460314,7.552018,16.685749,1.947827,-21.350000,-55.510002,229.740005
460389,0.686765,23.204029,6.147381,-37.869999,-68.110001,152.180008
460464,0.471403,18.509144,4.111016,-18.969999,-23.100000,34.439999
460539,1.679821,12.787701,2.744666,6.650000,1.50000,-9.520000
460613,2.163189,11.76772,2.385729,7.980000,6.90000,-31.150000
460688,1.818610,12.57864,1.902362,1.190000,24.360001,-51.939999
460763,0.808803,11.588854,1.780324,5.320000,29.680000,-65.660004
460838,0.299114,12.670448,2.692022,4.970000,30.240000,-78.820000
460913,0.43072,11.473994,2.380944,6.440000,42.349998,-99.820000
460987,-1.129453,9.746315,1.239526,-2.940000,41.650002,-106.540001
461062,-2.72258,7.195475,0.241684,2.660000,39.60001,-96.949997
461136,-3.53351,5.144753,0.679586,9.870000,26.320000,-65.730003
461212,-3.706615,4.931784,0.667621,10.290000,9.870000,-35.279999
461287,-4.402951,4.393379,0.129217,13.720000,0.420000,-12.250000
461361,-4.211518,5.979877,0.978699,8.890000,-1.750000,8.820000
461436,-3.969835,4.65551,0.299114,7.70000,-12.460000,23.30001
461510,0.748980,2.481446,0.698729,-4.480000,-15.890000,45.920002
461586,6.621177,-12.675234,-1.170132,53.480000,-67.970001,216.89996
461661,5.362507,18.810650,2.584341,-8.330000,-60.410000,221.339996
461735,1.514711,24.53513,4.364665,-46.60001,-52.990002,132.440002
461810,0.605406,19.47548,3.261534,-21.139999,-24.219999,46.970001
461884,1.344814,13.294997,2.598698,4.410000,-10.640000,-9.660000
461961,2.333085,11.641498,2.342657,19.40001,0.700000,-29.120001
462034,1.280206,11.876003,1.988507,9.310000,8.960000,-46.619999
462110,1.19379,13.213638,2.309156,13.510000,22.190001,-69.160004
462185,0.215362,12.840344,1.481210,3.360000,24.990000,-92.959999
462259,0.114860,11.864038,1.342421,19.530001,25.200001,-108.80002
462335,0.978699,9.631455,0.734623,28.280001,31.360001,-120.610001
462409,-1.873647,8.279462,0.320650,20.930000,33.880001,-116.480003
462484,-2.909776,5.338578,-1.349600,23.590000,32.759998,-104.930000
462558,-3.539111,3.299820,-1.433352,-3.80000,22.120001,-81.830002
462634,-4.402951,2.246941,-2.160796,1.610000,4.130000,-39.340000
462709,-4.642241,2.991135,-1.947827,0.140000,-5.600000,-1.190000
462783,-4.347914,4.577633,-1.122274,-19.389999,-7.770000,22.750000
462858,-3.608505,3.503217,0.562333,-29.49999,-14.770000,48.439999
462932,4.773852,-11.935825,-6.262240,-64.470001,-4.270000,24.500000
463008,7.987527,26.963289,3.357250,-64.260002,-2.30000,229.529999
463083,-4.237840,20.634047,10.662799,-69.580002,-112.279999,143.779999
463157,-3.405108,21.196381,2.14829,-17.570000,-30.100000,54.389999
463232,-2.357014,12.586697,2.627413,1.330000,0.350000,10.220000
463306,0.469010,10.966698,2.904990,9.170000,-1.820000,-8.400000
463382,0.617370,11.31306,1.694179,6.720000,0.840000,-17.500000
463456,-1.866468,13.373963,2.266084,26.950001,13.510000,-31.430000
463531,-2.414444,13.866902,2.869097,18.760000,10.290000,-62.860001
463606,-2.278049,13.783151,2.804488,35.279999,31.290001,-97.90004
463680,-2.335478,9.813316,0.33501,45.709999,36.400002,-122.220001
463756,-2.730308,7.944455,0.215362,45.849998,38.430000,-130.479996
463830,-3.773616,4.276127,-1.363958,28.840000,28.70000,-120.120003
463905,-4.606348,2.136867,-2.596305,21.629999,22.400000,-88.480003
463979,-5.226111,1.344814,-2.960027,7.980000,8.470000,-54.459999
464054,-5.326613,0.344579,-2.304370,11.130000,3.570000,-20.580000
464130,-5.180646,0.751373,-2.766202,4.970000,-3.150000,18.549999
464204,-4.39229,0.995450,-2.134474,-19.389999,-23.450001,47.950001
464279,2.318728,-5.738194,1.909541,-35.910000,-37.799999,91.209999
464353,15.53784,-15.687905,3.866940,-44.590000,-82.110001,364.209991
464428,3.74887,31.442812,2.553233,-148.750000,-74.129997,238.210007
464504,0.303899,27.200186,10.126787,-71.330002,-98.349998,108.290001
464578,0.201004,15.984626,3.701829,-29.49999,-36.259998,14.70000
464653,1.799467,12.498159,3.584576,8.400000,-5.740000,-11.900000
464727,1.629570,10.760908,3.785581,30.100000,13.580000,-20.860001
464802,0.952377,12.105722,1.856897,14.840000,8.540000,-39.60001
464877,0.727444,13.821437,2.866704,18.480000,26.950001,-59.150002
464952,0.136396,13.275854,3.266320,45.920002,29.820000,-82.949997
465027,0.904519,11.100700,0.591048,32.270000,24.150000,-110.389999
465101,0.409187,13.5455,2.285227,39.759998,46.480000,-156.520004
465176,-2.390515,7.523303,0.287149,31.430000,34.230000,-147.279999
465251,-3.378786,4.137338,-2.189511,23.730000,48.790001,-124.529999
465326,-3.709008,2.311549,-1.363958,21.770000,33.180000,-71.889999
465400,-4.541739,1.684607,-2.684843,13.20000,6.790000,-27.580000
465475,-4.970070,2.416837,-1.548212,1.750000,-4.900000,8.470000
465551,-5.72965,2.625020,-2.31579,-13.370000,-17.150000,40.599998
465625,-3.886083,3.17457,-1.9807,-32.60001,-23.30001,74.199997
465700,0.2393,0.318257,0.232112,-74.620003,-40.810001,128.660004
465774,6.518281,-1.541033,3.369215,-54.529999,-90.19997,339.500000
465849,8.490038,20.440222,1.107916,-49.349998,-69.370003,246.50003
465924,6.793466,19.73870,4.498667,-2.310000,-42.70000,158.339996
465999,4.812138,18.722113,2.620234,-2.170000,-5.950000,65.660004
466074,5.407972,14.309590,3.237605,-1.400000,-1.260000,3.710000
466148,4.797781,11.653462,1.670250,16.170000,10.360000,-39.970001
466223,4.103837,10.382828,2.26793,37.29999,7.840000,-63.209999
466298,3.945905,11.21734,1.756395,31.360001,10.220000,-82.809998
466373,3.86851,11.483566,1.148596,19.600000,23.870001,-111.230003
466448,2.81830,11.24128,1.31343,13.440001,28.630001,-126.489998
466522,0.86145,10.569475,0.717872,26.670000,32.759998,-131.180008
466597,-1.380708,11.981291,1.402244,41.860001,27.860001,-146.369995
466672,0.184254,14.15263,4.833674,12.110000,43.540001,-228.479996
466747,-4.812138,-11.639105,-8.860939,-1.960000,83.370003,-206.149994
466821,-1.608034,1.531461,-1.988507,32.270000,12.40000,-38.360001
466896,-5.855446,0.559941,-3.235212,9.240000,-10.430000,19.320000
466971,-6.659463,3.299820,-1.727680,-11.690000,-20.650000,41.720001
467046,-5.384043,3.259141,-2.81830,-23.940001,-27.790001,59.990002
467121,-3.436216,4.213911,-1.856897,-12.110000,-16.170000,92.680000
467195,-2.10043,2.684843,0.720265,-23.730000,-27.580000,110.669998
467270,5.582654,-8.616862,-1.64844,-63.279999,-40.250000,174.509995
467344,12.624983,22.311476,-2.483839,-13.300000,-90.440002,370.440002
467420,6.757573,26.144915,5.336185,13.90000,-9.800000,190.610001
467495,3.151460,15.898481,2.579555,-7.490000,-7.350000,28.980000
467569,4.340735,14.769029,1.995685,5.180000,-3.570000,-19.879999
467644,3.182568,9.882710,0.820767,14.280000,1.610000,-31.150000
467718,3.429037,10.775265,2.431195,7.490000,5.460000,-46.200001
467794,2.739880,10.801587,1.359172,-2.520000,3.990000,-57.119999
467869,2.680057,13.19813,2.81830,8.610000,11.690000,-72.169998
467943,1.864075,13.318927,1.751609,16.30001,29.610001,-102.620003
468018,1.215597,12.964776,1.292170,29.820000,36.750000,-129.80002
468092,0.294328,11.770715,0.524047,35.770000,43.259998,-157.149994
468168,1.481210,14.36798,5.343364,-4.410000,54.810001,-226.660004
468242,-4.584812,-7.784130,-6.283777,12.810000,7.700000,-119.0
468317,-3.476896,2.112938,0.167504,16.590000,19.740000,-62.230000
468392,-5.305077,1.988507,-2.203868,25.340000,5.810000,-12.460000
468467,-6.527853,3.632434,-2.488624,18.200001,-7.280000,19.530001
468542,-6.783895,3.426644,-1.572141,-3.570000,-18.270000,32.759998
468616,-6.94737,4.589598,-2.368979,-17.360001,-17.80000,42.0
468691,-3.309392,2.751844,-1.236,-25.270000,-27.20000,57.959999
468765,3.208890,-5.611370,0.727444,-36.610001,-36.750000,121.730003
468841,10.665192,8.336892,-3.395537,-72.239998,-136.570007,349.649994
468916,5.125609,25.544294,10.813552,-103.110001,-61.529999,228.759995
468990,1.560176,26.367455,4.115802,-44.99998,-9.800000,75.110001
469065,2.811667,21.454815,4.84694,-6.300000,29.960001,-46.689999
469139,4.431666,14.118157,5.99287,62.720001,52.290001,-150.220001
469215,4.510632,8.212461,4.584812,155.259995,112.0,-216.20004
469290,1.19379,2.301978,0.327828,138.460007,160.580002,-175.210007
469364,-1.856897,0.746587,-6.3807,165.270004,156.660004,-139.20004
469439,-2.7650,0.830339,-10.674763,183.750000,110.739998,-28.0
469513,-2.50722,3.764045,-10.95679,62.790001,44.310001,12.810000
469589,-1.600855,4.603955,-9.449594,7.910000,15.890000,9.450000
469663,-1.801860,2.960027,-8.628826,16.309999,11.200000,11.620000
469738,-1.694179,3.706615,-8.839402,0.210000,0.420000,5.180000
469813,-1.943041,4.34443,-8.650363,-1.120000,0.280000,10.430000
469887,-1.859290,3.675507,-8.703007,5.670000,2.30000,4.270000
469963,-1.864075,4.108623,-8.688649,1.120000,1.120000,2.590000
470037,-1.581712,4.434059,-8.841795,-3.640000,1.50000,3.850000
470112,-2.290013,4.278520,-8.485252,-16.100000,6.930000,15.120000
470187,-1.232348,6.465638,-8.822652,-10.290000,6.790000,-11.760000
470261,0.921270,4.840853,-9.667349,0.280000,-12.180000,-48.860001
470337,-1.538640,1.555390,-8.406286,-4.270000,-7.630000,-44.730000
470411,-2.273263,2.359407,-8.147852,-12.600000,-4.830000,-15.330000
470486,-2.392908,3.594148,-8.166995,1.120000,0.490000,5.810000
470560,-2.184725,3.728151,-9.172017,9.450000,-16.520000,49.279999
470635,-2.620234,4.460381,-7.784130,32.830002,-4.340000,57.610001
470711,-1.701358,5.273970,-8.523539,18.200001,-1.260000,27.790001
470785,-1.509925,4.446023,-8.310570,4.480000,-3.640000,7.210000
470860,-1.603248,3.426644,-7.920526,6.720000,0.140000,12.530000
470934,-1.725287,3.622863,-8.300998,-3.360000,18.129999,32.410000
471009,0.203397,6.724072,-11.878396,0.560000,-22.680000,-28.910000


